coffee_name,roaster_name,overall_score,roaster_location,p1,p2,p3,roast,aroma,acidity,body,flavor,aftertaste,with_milk,bean_agtron,ground_agtron,year,month,roaster_location_lat,roaster_location_lon,origin_lat,origin_lon
Doi Chaang Wild Civet Coffee,Doi Chaang Coffee,90,"Calgary, Alberta, Canada","Blind Assessment: Intriguing mid-tones throughout the profile: mainly a sort of orangy, floral citrus with a backgrounded complex simultaneously suggesting fresh earth, mushroom and decomposing leaves. All of this takes on a vaguely chocolaty tone in the finish. Gently smooth acidity, medium body.","Notes: Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Alberta, Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. In addition to its excellent conventional arabica coffees, the cooperative members harvest about 200 pounds per year of a Thai version of the famous (or infamous) kopi luwak, the world's most expensive coffee, the beans of which are harvested from the feces of a species of wild civet that eats ripe coffee fruit. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.","Who Should Drink It: Culinary adventurers who can afford the price of this exotic coffee and have tasted enough other coffees to appreciate its originality, an aroma/flavor complex both refreshingly pure yet richly suggestive of earth and decomposition.",2,8,8,7,,,,49,80,2009,6,51.0460954,-114.065465,14.8971921,100.83273
Kenya AA Lenana,Après Coffee,92,"Lancaster, Pennsylvania","Blind Assessment: Rich, very intense aroma: dark chocolate, aromatic wood, nut, hints of citrus: orange, tangerine. The cup is influenced by a moderately dark roast, which nicely rounds acidity and turns the celebrated Kenya dry berry notes toward a crisply sweet cocoa or dark chocolate, with a continued shimmer of citrus. The berry-toned chocolate carries into a simple, rich finish. The only limitation of this graceful coffee is a lean, almost thin mouthfeel, though that could be admired as another expression of its complex delicacy.","Notes: Despite stresses brought on by social unrest, charges of corruption and a confused transition toward an open market, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. AA is the highest grade of Kenya coffee based on bean size. Après is a seller of gourmet teas, coffee and chocolate presented in impressively distinctive packaging at reasonable prices. Visit www.aprescafe.com or call 877-777-3451 for more information.",Who Should Drink It: Those who prefer understated grace to robust assertion.,4,8,8,7,,,,42,53,2009,6,40.03813,-76.3056686,1.4419683,38.4313975
Mele 100% Kona Coffee,Hula Daddy,92,"Holualoa, Hawaii","Blind Assessment: An exciting, rather unusual complex of sweet but pungent citrus, nut and flowers animates the profile from aroma through finish. The citrus in particular is complex and engaging, one moment suggesting Meyer lemon, another especially sweet grapefruit. One cup of five we sampled displayed a very slight hint of bitterness; otherwise the rating for this exotic coffee would go higher.","Notes: A blend of coffees processed by a variety of methods from a range of cultivars grown on the Hula Daddy farm at the 1,400 foot level of the Mount Hualalai volcano near the northern end of the Kona growing district. ""Mele"" is a Hawaiian word meaning song or poetic chant. This coffee was selected and processed under the supervision of Miguel Meza, one of specialty coffee's younger visionaries. Visit www.huladaddy.com or call 888-553-2339 for more information.",Who Should Drink It: An exhilarating sensory riff on the Kona theme. For me enough excitement to compensate that one off-key bean.,2,8,8,7,,,,51,73,2009,6,19.6238149,-155.9536379,19.593801499999998,-155.42837009716908
Kenya Peaberry Thika Gethumbwini,JBC Coffee Roasters,96,"Madison, Wisconsin","Blind Assessment: Clean, complex, impeccable. Exhilaratingly dominated by crisp, nut-toned dry berry (blackberry, ripe black currant) in aroma and cup. Lush, lightly wine-toned acidity; medium body; syrupy mouthfeel. The underlying sweetness in the cup carries into the long, flavor-permeated finish.","Notes: Despite national coffee leadership marked by confusion and recent social disorder, Kenya cooperatives continue to produce some of the world's most elegant and distinctive coffees. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading.  JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Who Should Drink It: Strikingly complete expression of the great Kenya profile.,1,8,9,8,,,,57,90,2009,6,43.074761,-89.3837613,1.4419683,38.4313975
Kenya Gititu Peaberry,Atomic Cafe Coffee Roasters,92,"Beverly, Massachusetts","Blind Assessment: Rich, complex fruit aroma, intensely sweet and full. Roundly balanced acidity, smooth body, with a hint of floral and fruit tones expanding in the cup: sweet citrus, berries, currants. A mildly astringent mouthfeel carries into the lightly bittersweet chocolate-toned finish.","Notes: Despite stresses brought on by social unrest, charges of corruption and a confused transition toward an open market, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Atomic Cafe is a coffee house on the North Shore of Massachusetts that began its refined in-house roasting program in 2005. Visit www.atomicafe.com or call 978-922-0042 for more information.",Who Should Drink It: Lovers of sweet fruit flavors with tolerance for a little bracingly dry astringency.,3,8,8,8,,,,44,63,2009,6,42.5584284,-70.8800491,1.4419683,38.4313975
Rwanda Ikawa,Counter Culture Coffee,90,"Durham, North Carolina","Blind Assessment: Co-cupper Jim Reynolds (88): ""This coffee had a complex, well-balanced aroma that reminded me of a vanilla flower, although I?ve never smelled a vanilla flower. I wish more of this had carried over into the cup, because the flavor was not as complex [nor] as interesting."" Ken (92), on the other hand, found the floral and prune-toned fruit character of the aroma carried well into the cup, joined by cocoa and a slight, not unpleasant, salt or savory note. Ken and Jim agreed, however, in praising the richly resonant finish.","Notes: Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Produced entirely from trees of the heirloom French Mission Bourbon variety by members of the Nyakizu community. Counter Culture is a small-batch wholesale specialty roaster with an informative and lively website, a commitment to fine coffee and youthful, enthusiastic leadership. Visit www.counterculturecoffee.com or call 888-238-5282 for more information.",Who Should Drink It: Those who can easily imagine the smell of vanilla flowers.,2,8,8,8,,,,55,67,2009,6,35.996653,-78.9018053,-1.9646631,30.0644358
Rwanda Coopac Cooperative,Wonderstate Coffee,90,"Viroqua, Wisconsin","Blind Assessment: Balanced, pungent character - ""smoky and nutty"" for co-cupper Jim Reynolds (89), ""prune, nut, aromatic wood"" for Ken (90) with rich floral hints. Smooth mouthfeel, round, rich finish.","Notes: Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Made up entirely of the admired Bourbon cultivar Bourbon Mayaguez, this lot of coffee was produced by the cooperative known as COOPAC (Cooperative pour la Promotion des Activities Cafe.) Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.","Who Should Drink It: A simple, rich Rwanda with tight-knit complexity. The pungent fruit may reflect the prized Bourbon cultivar.",3,8,8,,,,,53,68,2009,6,43.5569174,-90.8887413,-1.9646631,30.0644358
Burundi,Kean Coffee,90,"Newport Beach, California","Blind Assessment: Rich, low-toned, deceptively simple coffee. Co-cupper Jim Reynolds (89) found it a quietly complete cup, though ""somewhat shy"" in acidity. Both Jim and Ken (90) wrestled with a very slight hint of what cuppers call ""bagginess,"" a faint mildewed note that appears in coffees that have suffered exposure to too much moisture during shipment or storage. The coffee's essential richness and floral cocoa tendencies overcame this shadow note, however, allowing the underlying beauty of the coffee to resonate in cup and long, flavor-saturated finish.","Notes: Burundi is a small, landlocked country in Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. Described on the bag as ""Fairly Traded,"" although the trade-marked seal of TransFair USA, the sole American certifier for the Fair-trade Labeling Organizations International (FLO), does not appear. With two locations in Southern California's Orange County, Kean Coffee is an in-house coffee roaster and retailer established by Martin Diedrich of the famous Diedrich coffee family. The Kean slogan, ""Martin knows his beans"" should be true, considering Martin grew up in Guatemala where the family owned a coffee farm.Visit www.keancoffee.com or call 949-933-9164 for more information.",Who Should Drink It: Those who enjoy complexity and richness but avoid assertive acidity in a medium-roasted coffee.,3,8,7,8,,,,50,70,2009,6,33.6170092,-117.9294401,-3.426449,29.9324519
Burundi Bwayi Lot 5,Paradise Roasters,90,"Ramsey, Minnesota","Blind Assessment: For co-cupper Jim Reynolds (89) a smooth and essentially complete cup but too subdued, with ""unassertive acidity."" Ken (90) found the cup quiet as well, but enjoyed floral, apricot, chocolate, possibly butter notes in aroma and cup, with an acidity that was richly red-wine-like.","Notes: Burundi is a small, landlocked country in Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. This Burundi was produced from trees of the heirloom Bourbon variety and Bourbon derivatives Jackson and Mibirizi. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Who Should Drink It: Those who enjoy quiet complexity and restrained acidity in a medium-roasted cup.,2,8,8,8,,,,53,78,2009,6,45.0165728,-93.0949501,-3.426449,29.9324519
Rwanda Bufcoffee Nyarusiza,The Roasterie,90,"Kansas City, Missouri","Blind Assessment: Co-cupper Jim Reynolds (91) praised a ""spicy pungency"" in the aroma and a smooth, balanced acidity. Ken (89) agreed. Both found the pungent character carrying into the cup, complicated for Ken by hints of flowers and cocoa. Simple but satisfying finish. Jim found the body ""balanced in the light to medium range"" but Ken found the mouthfeel a bit lean, accounting for his somewhat lower score. ","Notes: A prize winner in the 2008 Rwanda Cup of Excellence competition, where as a green (unroasted) coffee it placed eighteenth out of hundreds of entries, attracting a score of 85.55 from an international jury. Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Produced entirely from trees of the heirloom Bourbon variety by the Bufcoffee Co-op. The Roasterie is a leading, quality-oriented specialty roaster that specializes in building ongoing relationships with growers and emphasizes its commitment to ""air roasting,"" a technology utilizing a column of hot air rather than the conventional turning drum to agitate the roasting beans.  Visit www.theroasterie.com or call 800-376-0245 for more information.",Who Should Drink It: A moderate dark roast turns the soft fruit pleasingly pungent in this quietly complex Rwanda. Try it in a French press.,4,8,8,8,,,,41,58,2009,6,39.100105,-94.5781416,-1.9646631,30.0644358
