coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Hair Bender Espresso,Stumptown Coffee Roasters,"Portland, Oregon",Not disclosed,Medium-Dark,40/49,NA,February 2004,85,Aroma:,8,Body:,6							,Flavor:,7,Aftertaste:,7,With Milk:,7,"Blind Assessment: Ken and Willem were eight points apart on this one. Ken liked the aromatic excitement of the ""floral and fruit notes with complex smoky undertones"" that he followed with pleasure from aroma through finish to milk. Although he found the small cup a bit sharp and thin-bodied, he forgave all in return for the floral and fruit complexity. (89) Willem, on the other hand, tasted nothing but imbalance and too much acidity: ""Somewhat dull aroma with minor earthy notes"" and in the small cup ""mildly sharp and some uncontrolled acidity."" He was a bit more forgiving with performance in milk: ""sweet, bright, with caramel aftertaste."" (81)",Notes: Stumptown Coffee is a small-batch premium roasting company that wholesales its coffees as well as serves them in French press format in its three Portland cafes. Visit www.stumptowncoffee.com or call 503-230-7797 for more information.,"Who Should Drink It: Those who, like Ken, enjoy a romantically aromatic respite from balance."
Panama,Stumptown Coffee Roasters,"Portland, Oregon","Bouquete growing region, western Panama",Medium-Dark,42/50,NA,February 2004,89,Aroma:,8,Acidity:,7,Body:,7,Flavor:,8,Aftertaste:,9,"Blind Assessment: Finely balanced cup: delicately roasty, very sweet, with a shimmer of dry acidity. Under the impact of the roast the crisp aromatics lean toward leather and an herb-toned chocolate.",Notes: The Bouquete region of Panama near the border with Costa Rica produces some of Central America's most sweetly balanced and elegant coffees. Stumptown Coffee is a small-batch premium roasting company that wholesales its coffees as well as serves them in French press format in its three Portland cafes. Visit www.stumptowncoffee.com or call 503-230-7797 for more information.,Who Should Drink It: This wonderfully sweet coffee with a gentle backbone of roastiness and acidity should make a fine multiple morning cup.
House Blend,Stumptown Coffee Roasters,"Portland, Oregon",Not disclosed,Medium-Dark,45/49,NA,February 2004,90,Aroma:,8,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,9,"Blind Assessment: Sweet and richly low-toned in the aroma, with shimmers of flowers, grapefruit and perhaps apples. In the cup the fruit turns opulently bittersweet under the impact of the roast: walnuts, dried apricots, bittersweet chocolate.",Notes: Stumptown Coffee is a small-batch premium roasting company that wholesales its coffees as well as serves them in French press format in its three Portland cafes. Visit www.stumptowncoffee.com or call 503-230-7797 for more info.,Who Should Drink It: Those who prefer Florence to Rome.
Decaf Skye’s Mountain Blend,Batdorf & Bronson,"Olympia, Washington","Kenya, Colombia, Sumatra",NA,0/0,NA,July 2002,87,Aroma:,8,Acidity:,7,Body:,7,Flavor:,7,Aftertaste:,8,"Blind Assessment: Simple in terms of nuance but splendid structure: rich and pleasing balance of sweet and roasty tones with a pleasant shimmer of acidity and suggestions of citrus and pineapple. The roast tones are rather heavily bitter when the cup is hot, but soften and round beautifully as it cools.","Notes: Depending on origin, the components of this blend were processed either by the solvent or CO2 processes. Batdorf & Bronson is a leading wholesale artisan specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: A versatile coffee whose sturdy but expansive character when cool should make it particularly fine as a darker-roasted summer beverage taken over ice.
Decaf Mexico Organic,Batdorf & Bronson,"Olympia, Washington",Mexico,NA,0/0,NA,July 2002,87,Aroma:,8,Acidity:,7,Body:,7,Flavor:,7,Aftertaste:,8,"Blind Assessment: Intense, rich, straightforward. The aroma is deep-toned bittersweet chocolate with a slight roasty edge. Simplifies in the cup, perhaps under the impact of the roast, but expands again in the finish, with chocolate and hints of flowers.","Notes: Certified Organically grown and decaffeinated by the solvent-free Swiss Water method. Batdorf and Bronson is a leading wholesale artisan specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.","Who Should Drink It: This organic coffee's roasty, rounded power should carry through large quantities of milk."
Brazilian Cerrado Capim Branco,Martinez Fine Coffees," Atlanta, Georgia","Cerrado region, Brazil",NA,/,NA,December 2000,86,Aroma:,7,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,6,"Blind Assessment: Crisp rather than bright, dry rather than acidy, bittersweet, cocoaish, elegant but limited. From a well-run farm in the relatively new growing region of Cerrado. Martinez Fine Coffees is known for its elegant packaging and respectful presentation of single-origin coffees.","Notes: Crisp rather than bright, dry rather than acidy, bittersweet, cocoaish, elegant but limited. From a well-run farm in the relatively new growing region of Cerrado. Martinez Fine Coffees is known for its elegant packaging and respectful presentation of single-origin coffees.",Who Should Drink It: A versatile coffee for acid-avoiders. Should make a pleasantly bracing drip coffee for breakfast and a dry but chocolaty complement to sweet desserts later in the day.
Nicaragua Organic,Batdorf & Bronson,"Olympia, Washington",Nicaragua,Dark,37/37,NA,June 1999,84,Aroma:,8,Acidity:,6,Body:,8,Flavor:,7,Aftertaste:,5,"Blind Assessment: The roast turns the lemony acidity rich and smokily pungent. Not a lot of range or innuendo, but a balanced and satisfying cup.","Notes: A balanced and satisfying cup, the roast turns the lemony acidity rich and smokily pungent. Batdorf & Bronson roastmaster Lindsey Bolger doesn't much like aggressive dark roasts. I had to talk her into sending me a couple of them, and she refused to even let me near her darkest. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: Environmentalists who like quiet parties where nobody shouts and everyone makes sense.
Mexico Organic,Batdorf & Bronson,"Olympia, Washington",Mexico,NA,0/0,NA,November 1998,88,Aroma:,8,Acidity:,7,Body:,7,Flavor:,7,Aftertaste:,8,"Blind Assessment: Extraordinary aroma: Nothing dramatic, but that may be the point here. Balanced and gently complex. Crisp dry tones keep the levitating sweetness grounded. Hints of smoke in the finish sweeten toward chocolate in the aftertaste.","Notes: Balanced and gently complex. Crisp dry tones keep the levitating sweetness grounded. This outstanding organic coffee displays hints of smoke in the finish that sweeten toward chocolate in the aftertaste. Batdorf & Bronson is a meticulous wholesale and retail roaster founded in 1986 in Olympia, Washington, with a second roasting location in Atlanta. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.","Who Should Drink It: A gently reflective coffee, full of small, undemanding, but exquisite pleasures."
Guatemala Coban,Oren's Daily Roast,"New York, New York",Guatemala,NA,0/0,NA,September 1998,88,Aroma:,9,Acidity:,7,Body:,6,Flavor:,7,Aftertaste:,7,"Blind Assessment: The superb oxymoron of this coffee, powerfully sweet yet sharply pungent, is at its best in aroma and in finish, when the pungent tones soften to a distinct and pleasing spice. Rich, clean aftertaste; medium to light body.","Notes: The superb oxymoron of this coffee, powerfully sweet yet sharply pungent, is at its best in aroma and in finish, when the pungent tones soften to a distinct and pleasing spice. For more information, visit www.orensdailyroast.com.",Who Should Drink It: Those who appreciate things both intense but suave. Aficionados interested in expanding their Guatemala cup experience beyond the classic environs of Antigua.
Skye’s Mountain Blend Decaf,Batdorf & Bronson,"Olympia, Washington",Blend,Medium-Dark,39/43,NA,July 1998,85,Aroma:,8,Acidity:,8,Body:,6,Flavor:,7,Aftertaste:,6,"Blind Assessment: Not nearly as dramatic as the Olympic mountains, but satisfying and substantial. Straightforward, low-toned, agreeably balanced, vibrant and solid in mid-range, fresh and sweet in finish, complicated by a touch of intrigue that could be called chocolate. As the cup cools the sweet tones grow rounder, fuller and more distinctly chocolate.","Notes: Named for Caroline Skye, a Batdorf & Bronson roaster who originated this blend. The various components of this blend are decaffeinated by two different methods: the carbon dioxide and the indirect solvent methods. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.","Who Should Drink It: The round, generous profile with its mildly dessert-like nuances makes this coffee an excellent afternoon or after-dinner choice for caffeine-sensitives."
