coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Kahiko,Hula Daddy Kona Coffee,"Holualoa, Hawaii ","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/74,$47.95/8 ounces,September 2022,96,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,10,Aftertaste:,9,"Blind Assessment: Richly chocolaty, harmoniously juicy and bright. Dark chocolate fudge, pomelo, star jasmine, cedar, marjoram in aroma and cup. Sweet-savory structure with complex, bittersweet acidity; full, creamy mouthfeel. Resonant, long, flavor-laden finish.","Notes: Produced entirely from trees of the Kona Typica variety of Arabica and grown on Hula Daddy’s lower-elevation farm; processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. Visit www.huladaddy.com or call 808-327-9744 for more information.

 ","The Bottom Line: An exceptional Kona Typica cup deftly roasted to bring out rich dark chocolate and high-toned citrus notes in satisfying balance, with a throughline of tropical floral notes."
Kenya Ndumberi Peaberry,Mostra Coffee,"San Diego, California","Kiambu County, Kenya",Medium-Light,58/77,$27.00/14 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Balanced, richly sweet, spice-toned. Apricot, cocoa nib, lilac, coriander, amber in aroma and cup. Deep, sweet-savory structure with bright acidity; syrupy-smooth mouthfeel. The finish is both crisp and juicy, leading with notes of apricot and coriander in the short and rich, cocoa-toned florals in the long.","Notes: Produced by smallholding members of the Ndumberi Farmers Cooperative Society from trees of the SL28 and SL34 varieties of Arabica, and processed by the Kenya variation on the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.","The Bottom Line: A classic sweet-savory Kenya cup: balanced, deep, rich, and intriguingly spice-toned."
Taiwan Alishan Espresso Pacamara Natural,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan","Alishan Township, Chiayi County, Taiwan",Medium,48/67,NT $2300/230 grams,September 2022,94,Aroma:,9,Body:,9							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Crisply chocolaty, delicately fruit-forward. Goji berry, lemon balm, baking chocolate, cedar, magnolia in aroma and small cup. Creamy-smooth mouthfeel; crisply chocolaty finish supported by notes of lemon balm and cedar. In three parts milk, sweet herb tones are usurped by rich chocolate and goji berry.","Notes: Produced by Zhou-Zhu-Yuan entirely of the bold-beaned Pacamara variety of Arabica, and processed by the natural method (beans are dried in the whole fruit). In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.

 ","The Bottom Line: An integrated, restrained natural-processed Taiwan cup roasted for espresso, with leading notes of delicate red fruit and crisp chocolate throughout. "
Ethiopia Gera Reserve Anaerobic Natural,Branch Street Coffee Roasters,"Youngstown, Ohio","Djimma growing region, Oromia State, Ethiopia",Light,62/84,$19.50/10 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,9,"Blind Assessment: Sweetly tart, floral-toned. Tea rose, raspberry coulis, cocoa nib, watermelon rind, almond brittle in aroma and cup. High-toned structure with winey acidity; crisply satiny mouthfeel. Exceptionally long, harmonious finish that exhilaratingly extends the promise of the cup.","Notes: Produced by smallholding farmers largely from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the natural anaerobic method, wherein whole fruit is fermented with limited oxygen before drying. Branch Street Coffee Roasters is a small-batch specialty coffee roaster in Youngstown, Ohio. Visit www.branchstreetcoffee.com for more information.","The Bottom Line: A berry-driven anaerobic natural Ethiopia cup with an especially long, lingering finish — juicy, bright, balanced, floral."
Kenya Ngaita Peaberry,Mostra Coffee,"San Diego, California","Kiambu County, Kenya",Medium-Light,60/77,$27.00/14 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,9,"Blind Assessment: Bright, richly sweet, complex. Red currant, jasmine, dark chocolate, tangerine zest, maple syrup in aroma and cup. Sweetly savory structure, with juicy-bright acidity. Crisply silky mouthfeel. The balanced, integrated finish is centered around notes of red currant and dark chocolate, with hints of tangerine zest into the long.","Notes: Produced by smallholding members of the Ndumberi Farmers Cooperative Society and processed at the Ngaita Factory (mill) from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica by the traditional Kenya washed method (fruit skin and flesh are removed from the beans before they are dried). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.","The Bottom Line: A vibrant fruit- and chocolate-driven Kenya with elegant floral notes throughout; especially long, lingering finish."
Ka‘ū Champagne Natural Half-Caf,Paradise Roasters,"Minneapolis, Minnesota","Ka‘ū growing region, Big Island of Hawai’i",Light,64/86,$30.00/4 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicately sweet-tarty, fruity and lively. Baking chocolate, pomegranate, lime zest, cashew butter, oak in aroma and cup. Sweet-tart structure with gently bright, winey acidity; crisp, silky mouthfeel. Baking chocolate and lime zest are central in the finish.","Notes: A blend of Typica, Red Bourbon and Red Catuai varieties of Arabica produced by Miranda Farms and JN Farms, processed using a proprietary method involving wine yeasts. The decaffeinated coffees were processed by Kona Decaf in Holualoa using pressurized carbon dioxide gas rather than chemical solvents to remove about 50% of the total caffeine, making this a “half-caf” coffee rather than a coffee decaffeinated using industrial methods that remove almost all of the caffeine. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","The Bottom Line: A partially decaffeinated coffee of exemplary quality and distinction.
Coffees of three traditional varieties are separately processed using Miguel Meza’s “champagne” method, blended, and subjected to partial decaffeination with no use of solvents. The result is a delightfully fruit-driven, chocolaty, low-caffeine cup. "
Espresso Nuevo,Paradise Roasters,"Minneapolis, Minnesota",Thailand; Vietnam; Latin America,Medium-Light,52/70,$19.00/12 ounces,September 2022,93,Aroma:,9,Body:,8							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Deeply chocolaty, sweetly earthy. Dark chocolate, date, graphite, lemon verbena, candied violet in aroma and small cup. Crisp, satiny mouthfeel; richly chocolaty and gently herbaceous finish. Chocolate takes the stage in cappuccino-scaled milk, with support from notes of date and lemon verbena.","Notes: A blend of Arabica coffees from Thailand, Vietnam and Latin America designed as a dark-end-of-medium espresso ideal for milk drinks. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",The Bottom Line: A seriously chocolaty espresso with undertones of sweet flowers and herbs — especially nice in cappuccino format.
Kenya AB,Dory Coffee Roasters,"New Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Light,64/84,NT $750/230 grams,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Complex, multi-layered. Almond brittle, black cherry, dark chocolate, narcissus, mustard seed in aroma and small cup. Sweetly savory with juicy acidity; syrupy-smooth, lively mouthfeel. Resonant, long, flavor-saturated finish consolidates to suggestions of black cherry and almond brittle. ","Notes: Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Dory Coffee Roasters is a Taipei-based nano-roaster of specialty coffee. For more information, visit www.facebook.com/dorycoffee99/.","The Bottom Line: Juicy, high-toned, balanced and deep, with particularly full yet vibrant mouthfeel."
Ecuador Pichincha Finca Flora,Chousin Coffee Collection,"Xinbei, Taiwan","Pichincha Province, Ecuador",Light,65/82,NT $450/8 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicately rich, vibrantly sweet-savory. Wisteria, dark chocolate, lychee, candied orange zest, allspice in aroma and cup. Sweetly tart structure with full, syrupy mouthfeel. The long finish consolidates to notes of wisteria and allspice.","Notes: Produced at Finca Flora entirely of the Typica variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Chousin Coffee Collection is a specialty coffee roaster and cafe in Xinbei, Taiwan. Visit www.facebook.com/kaffee.collection for more information.","The Bottom Line: A spice-toned, floral Ecuador cup, simultaneously sweet and intriguingly savory."
Vietnam Robusta Carbonic Maceration,Paradise Roasters,"Minneapolis, Minnesota","Lam Dong Province, Vietnam",Medium-Light,52/70,$25.00/12 ounces,September 2022,92,Aroma:,9,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisply fruit-toned, chocolaty. Cocoa powder, black cherry, almond, cedar, orange zest in aroma and cup. Richly bittersweet structure with brisk acidity; full, velvety mouthfeel. Finish consolidates to notes of cocoa powder, orange zest and cedar.
","Notes: Produced by Toi Nguyen of Future Coffee Farm entirely of coffee of the Robusta species. Processed by the carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee, still in the whole fruit. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","The Bottom Line: An exceptionally sweet, complex Canephora (Robusta) cup from Vietnam, processed by carbonic maceration to intensify the fruit character."
