coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,p1,p2,p3
Ethiopia Watadara Sidamo,Kean Coffee,"Newport Beach, California","Sidama (also Sidamo) growing region, southern Ethiopia.",Medium,52/58,$14.95/12 ounces,August 2012,91,Review Date:,August 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Intense and dramatic. Lushly sweet, honeysuckle-like flowers are balanced by tart, bitterish bergamot and lavender. Richly bright acidity; light but silky mouthfeel. Flowers carry into a resonant but quite dry finish. ","Notes: Southern Ethiopia produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. With two locations in Southern California's Orange County, Kéan Coffee is an in-house coffee roaster and retailer established by Martin Diedrich of the distinguished Diedrich coffee family. The Kéan slogan, ""Martin knows his beans"" should be true, considering Martin grew up in Guatemala where his family owned a coffee farm.Visit www.keancoffee.com or call 949-933-9164 for more information.",Who Should Drink It: Those who enjoy the extravagant and uncompromising.
Honey Process Single-Estate Espresso,Bluekoff Company,"Bangkok, Thailand","Bluekoff Estate, Chiang Rai Province, Thailand",Medium,49/59,THB $300/250 grams,August 2012,90,Review Date:,August 2012,Aroma:,8,Body:,8							,"Blind Assessment: Evaluated as espresso. Vanilla-toned chocolate, low-acid, mango-like fruit in the aroma. In the small cup smoothly syrupy mouthfeel, a slight tart brightness, cedary pungency, and continued chocolate and fruit that carry into a quietly resonant finish. Balanced and simple in two parts milk, with the chocolate dominating.","Notes: This is a “honey” coffee, meaning the skin was removed from the coffee fruit immediately after picking but the beans or seeds were dried with at least some of the fruit pulp or “honey” still adhering to them. This practice contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. Bluekoff is a Thai company involved in all aspects of coffee, from milling and roasting to coffee wholesale and retail and related equipment and training services.Visit www.bluekoff.com or call +66-81-751-1217 for more information.",Who Should Drink It: A quietly balanced espresso with good vanilla-toned chocolate character.
Dolok Sanggul Single Origin Espresso,JBC Coffee Roasters,"Madison, Wisconsin","Lake Toba growing region, northern Sumatra.",Medium-Dark,46/53,$12.99/12 ounces,August 2012,93,Review Date:,August 2012,Aroma:,8,Body:,8							,"Blind Assessment: Evaluated as espresso. Pungent, rich. Cedar-toned dark chocolate, mango- and banana-like fruit, dusk flowers in aroma and small cup. Fullish, velvety mouthfeel; chocolate and a pungent mango-like fruit in particular linger in a long, deep finish and carry with great authority into two parts milk. ","Notes: Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices collectively called wet hulling. This is a particularly refined version of the style. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Who Should Drink It: The pungent fruit and rich aromatic wood notes beloved by drinkers of fine Sumatra coffees manifest with both depth and elegance in this Sumatra single-origin espresso.
S.O. Espresso Maui Mokka,Paradise Roasters,"Ramsey, Minnesota","Kaanapali district, near Lahaina, West Maui, Hawaii",Medium-Dark,40/49,$19.95/12 ounces,August 2012,92,Review Date:,August 2012,Aroma:,9,Body:,8							,"Blind Assessment: Evaluated as espresso. Pungent, opulent, deep. Mango, apricot, dark chocolate, dusk flowers in aroma and small cup. Full, buttery mouthfeel; richly drying, flavor-saturated finish. Dominates two parts milk; requires about four parts to fully round and plump up. ","Notes: Mokka (also spelled Moka and Mocca) is a famous variety of Arabica that reached Kaanapali, Hawaii from Brazil. It almost certainly must have originated in Yemen, however, where varieties identical in bean appearance and cup are known as Ismaili as well as by other local names. This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota and beyond.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.","Who Should Drink It: A resonant, exotic straight shot. Should handle taller milk drinks well."
Limited Edition Classic Espresso,True Beans Coffee Roasters,"Long Beach, California",Not disclosed.,Medium-Light,55/71,$15.99/12 ounces,August 2012,92,Review Date:,August 2012,Aroma:,9,Body:,8							,"Blind Assessment: Evaluated as espresso. Pungent, rich, deep. Apricot- and mango-like fruit, dark chocolate, night flowers in aroma and small cup. Full, buttery mouthfeel; flavor-saturated, richly drying finish. Flavor carries with complexity and authority into two parts milk, though mouthfeel and finish remain surprisingly dry. ","Notes: This coffee is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees. Visit www.truebeans.com or call 562-216-1620 for more information.","Who Should Drink It: Lovers of deep-toned, pungently rich espressos."
Panama Elida Estate Reserve,Willoughby's Coffee & Tea,"Branford, Connecticut","Boquete growing region, western Panama",Medium,51/66,$16.99/16 ounces,August 2012,91,Review Date:,August 2012,Aroma:,8,Acidity:,8,"Blind Assessment: Briskly tart, bracingly bittersweet. Tangerine-like fruit, hints of flowers, fir and almond in aroma and cup. Surprisingly full, syrupy mouthfeel; richly tart acidity. The profile sweetens and softens in the finish, with the fruit and nut taking an unexpected turn toward chocolate.  ","Notes: A washed or wet-processed coffee, meaning both skin and fruit flesh were removed from the beans before drying, a practice which generally intensifies acidity and clarity of flavor. The Lamastus family’s Elida Estate averages the highest growing elevations in Panama: 5,500 to 8,200 feet (1,700 to 2,500 meters). Willoughby's Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.",Who Should Drink It: Those who enjoy a bracingly bright old-fashioned American cup.
Carmen Estate Natural Panama,Kuma Coffee,"Seattle, Washington","Boquete growing region, western Panama",Medium-Light,57/81,$16.00/12 ounces,August 2012,91,Review Date:,August 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Floral high notes and honey sweetness overlay deeper, earthier notes that suggest mushrooms, moist fresh-fallen leaves, or, in the cup, the vegetal chocolate of roasted cocoa nibs. Richly tart acidity hints at lemon; lean but silky mouthfeel. Flowers in particular carry into a drying finish.","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Carmen Estate is among the most distinguished of Panama's fine coffee farms, with a string of successes in green coffee competitions. Kuma Coffee is a small Seattle, Washington based roaster committed to the idea that coffee fosters relationships. Visit www.kumacoffee.com or call 206-384-6092 for more information.","Who Should Drink It: Aficionados and coffee adventurers may enjoy this unusual dried-in-the-fruit profile, in which distinct floral notes are supported by backgrounded, savory, earth-toned suggestions."
Panama Lerida Estate Sonia’s Crop,Temple Coffee and Tea,"Sacramento, California","Boquete growing region, western Panama",Medium,53/68,$16.50/12 ounces,August 2012,91,Review Date:,August 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Complex, bracing, bittersweet in structure. Crisp lavender-like flowers, dark chocolate, tart berry, softened by a sweet caramel in aroma and cup. Brisk, floral-toned acidity; silky to lightly syrupy mouthfeel. Lavender and dark chocolate carry into a rich but drying finish.","Notes: A washed or wet-processed coffee, meaning both skin and fruit flesh were removed from the beans before drying, a practice which generally intensifies acidity and clarity of flavor. Temple Coffee is a quality-focused retail and wholesale roaster in Sacramento, California who has been voted Best Coffee House since 2005 by the Sacramento News & Review.  Visit www.templecoffee.com or call 916-454-1282 for more information.",Who Should Drink It: Those who enjoy heavily hopped ales and other pleasingly bitter-edged beverages.
Panama Hacienda La Esmeralda Geisha Baru,Equator Coffees & Teas,"San Rafael, California","Cañas Verdes, Boquete growing region, western Panama.",Medium-Light,54/73,$49.00/8 ounces,August 2012,91,Review Date:,August 2012,Aroma:,8,Acidity:,8,"Blind Assessment: Lush honey, crisp lavender, hints of peach and vanilla in aroma and cup. The acidity is quite tart, but also sweet and rich. Fullish, lightly syrupy mouthfeel.  Honey and lavender carry into a sweet but drying finish.","Notes: This is an auction lot of Esmeralda Gesha from Hacienda La Esmeralda, the producer that first introduced the celebrated Gesha variety of Arabica to the world. Barú is a 2012 batch of Esmeralda Gesha; in this case a batch is defined as coffee that has been harvested together on the same date. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This Gesha was processed by the orthodox wet or washed method, in which both skin and fruit flesh are removed from the beans or seeds before they are dried. Equator is a specialty roaster based in the San Francisco Bay Area driven by “passion for quality and sustainability.” Visit www.equatorcoffees.com or call 800-809-7687 for more information.","Who Should Drink It: Honeyish, meadowy version of the great Gesha profile."
2012 Esmeralda Special Natural Panama,CafeTaster,"I-Lan City, Taiwan","Boquete growing region, western Panama",Medium-Light,58/81,NTD $3000/8 ounces,August 2012,93,Review Date:,August 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Intense, lyric, complex floral character – tea rose, lily, lavender, honey – anchored by a crisp, cocoa-toned chocolate. Sweet-toned, floral acidity; lightly syrupy mouthfeel. Dry but rich, flavor-saturated finish.","Notes: This is an auction lot of Esmeralda Gesha from Hacienda La Esmeralda, the producer that first introduced the celebrated Gesha variety of Arabica to the world. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This is a dry-processed or ""natural"" version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. CaféTaster is an aficionado nano-roaster of the style increasingly characteristic of East Asia countries like Taiwan and Korea, roasting very high-end coffees in very small volumes for a tiny clientele of passionate coffee enthusiasts, in the process selling coffee education as much as coffee itself. For more information, visit www.facebook.com/cafetaster or email roaster Jerry Huang at [email protected]",Who Should Drink It: Affluent aficionados interested in sampling a version of the great Gesha profile that foregrounds with almost disconcerting intensity its famous floral and cocoa tendencies.
